	ag	test type	repl	loss	acc	recall	prec	f1
46	3RAJ	open	2	0.14596527814865112	0.9451700680272109	0.9100680272108843	0.9787825577992391	0.9431754089114495
47	3RAJ	closed	2	0.2562575042247772	0.9001633319722335	0.9100680272108843	0.8924616410940627	0.9011788480970023
48	3RAJ	open	9	0.1354895532131195	0.9512925170068027	0.9247619047619048	0.976580459770115	0.9499650593990216
49	3RAJ	closed	9	0.257607102394104	0.9023410916020145	0.9247619047619048	0.8851412944393802	0.9045179319981369
50	3RAJ	open	10	0.14303922653198242	0.9443537414965987	0.9119727891156463	0.9751236543497236	0.9424915635545557
51	3RAJ	closed	10	0.24434085190296173	0.9039063563359194	0.9119727891156463	0.8975629351901446	0.9047104872452424
52	3RAJ	open	8	0.1427103579044342	0.9468027210884353	0.9119727891156463	0.980257385200351	0.9448829997180717
53	3RAJ	closed	8	0.23924928903579712	0.9092146454335103	0.9119727891156463	0.9070365358592692	0.9094979647218453
54	3RAJ	open	5	0.14060567319393158	0.9442176870748299	0.905578231292517	0.9814214096136833	0.941975658080951
55	3RAJ	closed	5	0.23985204100608826	0.9065605008847148	0.905578231292517	0.9074301295160191	0.9065032345931223
56	3RAJ	open	1	0.14655260741710663	0.9435374149659864	0.9095238095238095	0.9759124087591241	0.9415492957746479
57	3RAJ	closed	1	0.23534439504146576	0.9089424254797877	0.9095238095238095	0.9085349279695569	0.9090290998096273
58	3RAJ	open	4	0.1316116899251938	0.9527891156462585	0.9285714285714286	0.9758364312267658	0.9516174010039041
59	3RAJ	closed	4	0.24663123488426208	0.9054716210698244	0.9285714285714286	0.8876316816230979	0.9076401356473169
60	5E94	open	4	0.14992158114910126	0.9556462585034013	0.9197278911564626	0.99091175608326	0.9539937905729607
61	5E94	closed	4	0.2910962700843811	0.8909090909090909	0.9197278911564626	0.8598321037903841	0.8887720220878255
62	5E94	open	1	0.12777769565582275	0.9636054421768707	0.935374149659864	0.9913482335976929	0.9625481274063703
63	5E94	closed	1	0.2917838394641876	0.8905867182462928	0.935374149659864	0.8490799061380758	0.8901404803521719
64	5E94	open	5	0.1366729736328125	0.9611564625850341	0.9302040816326531	0.9915881073241479	0.95991575991576
65	5E94	closed	5	0.28943127393722534	0.8926499032882012	0.9302040816326531	0.8558017273751408	0.8914531586152944
66	5E94	open	10	0.12483744323253632	0.9656462585034014	0.9412244897959183	0.9895580031469031	0.9647862771075936
