,ag,test type,trained on,repl,loss,acc,recall,prec,f1
66,1FBI,1 vs all,looser,7,0.16947974264621735,0.9695794201714986,0.9795918367346939,0.9603841536614646,0.9698929076581128
67,1FBI,1 vs all,looser,6,0.16307127475738525,0.9653600108887982,0.9734693877551021,0.9579595662069889,0.9656522032525812
68,1FBI,1 vs all,looser,2,0.1472025066614151,0.9711446849054036,0.984625850340136,0.9587970323264441,0.9715398040005369
69,1FBI,1 vs all,looser,5,0.171857088804245,0.9728460596161699,0.9897959183673469,0.9573628108961706,0.9733092514549468
70,1FBI,1 vs all,looser,1,0.19847561419010162,0.9695113651830679,0.9806802721088436,0.9592760180995475,0.9698600645855759
71,1FBI,1 vs all,looser,4,0.19184879958629608,0.936844970736355,0.9431292517006803,0.9314700349368449,0.9372633856138454
72,2YPV,1 vs all,looser,4,0.3878270089626312,0.8568803593303389,0.950204081632653,0.8008255933952528,0.8691431771513907
73,2YPV,1 vs all,looser,5,0.3791918158531189,0.855315094596434,0.9382312925170068,0.8048552754435108,0.8664405076014574
74,2YPV,1 vs all,looser,1,0.40199148654937744,0.8514359602558867,0.9508843537414966,0.7932130291680853,0.864921725140771
75,2YPV,1 vs all,looser,8,0.40518245100975037,0.8434735266095005,0.9511564625850341,0.7826914464845499,0.8587397125660238
76,2YPV,1 vs all,looser,9,0.37373030185699463,0.8638219681502655,0.9413605442176871,0.8150547767699375,0.8736662668097733
77,2YPV,1 vs all,looser,6,0.3640739619731903,0.8700149720974547,0.9499319727891157,0.8190990145471609,0.8796774599974801
78,2YPV,1 vs all,looser,2,0.40225619077682495,0.8636178031849735,0.942312925170068,0.8142487655772396,0.8736125126135217
79,2YPV,1 vs all,looser,3,0.3826640248298645,0.86116782360147,0.9428571428571428,0.8105263157894737,0.8716981132075471
80,2YPV,1 vs all,looser,7,0.33886536955833435,0.8787260106165782,0.9481632653061225,0.8326164874551971,0.8866412213740458
81,1OB1,1 vs all,looser,9,0.26232972741127014,0.9139104396352252,0.9195918367346939,0.9093232880398224,0.9144287357099371
82,1OB1,1 vs all,looser,8,0.22317110002040863,0.9163604192187287,0.929795918367347,0.9055253743209222,0.917500167819024
83,1OB1,1 vs all,looser,7,0.28610554337501526,0.8891384238464679,0.9095238095238095,0.8739704536540724,0.8913927595173012
84,1OB1,1 vs all,looser,3,0.2489774376153946,0.9130937797740575,0.9093877551020408,0.9162440027416039,0.9128030044383749
85,1OB1,1 vs all,looser,2,0.2235165387392044,0.9194909486865387,0.9231292517006803,0.9165203295961097,0.9198129194062226
86,1OB1,1 vs all,looser,6,0.21840371191501617,0.9186742888253709,0.9244897959183673,0.9139206455951581,0.9191748393642205
87,1OB1,1 vs all,looser,1,0.28804564476013184,0.8951272628283653,0.9093877551020408,0.884243947612118,0.8966396136561808
88,1OB1,1 vs all,looser,5,0.23185692727565765,0.9171770790798965,0.9161904761904762,0.918064076346285,0.9171263193735104
