,ag,test type,trained on,repl,loss,acc,recall,prec,f1
63,1ADQ,looser,looser,4,0.38784414529800415,0.8251700680272109,0.8156462585034013,0.8314840499306518,0.823489010989011
64,1ADQ,looser,looser,1,0.4064866602420807,0.8183673469387756,0.8480272108843537,0.8005394297456974,0.8235993657505285
65,1ADQ,looser,looser,3,0.3792877495288849,0.833265306122449,0.8668027210884354,0.8123167155425219,0.8386757059171986
66,1ADQ,looser,looser,7,0.3906685411930084,0.8287074829931973,0.848843537414966,0.8159822129217892,0.8320885569485196
67,1ADQ,looser,looser,10,0.3764452338218689,0.8348979591836735,0.8493877551020408,0.8254660848869496,0.8372560852947092
68,1ADQ,looser,looser,9,0.3872958719730377,0.8318367346938775,0.8312925170068027,0.8321983110868973,0.8317451674380615
69,1ADQ,looser,looser,5,0.39237433671951294,0.8259863945578231,0.8489795918367347,0.8116545265348595,0.8298975927649953
70,1FBI,looser,looser,6,0.13701924681663513,0.9648299319727891,0.9868027210884354,0.9452626091489639,0.9655861013113226
71,1FBI,looser,looser,8,0.16553902626037598,0.944625850340136,0.970204081632653,0.9229873155578566,0.9460068983815335
72,1FBI,looser,looser,10,0.14159777760505676,0.9642176870748299,0.9827210884353742,0.9476515350301759,0.9648677531391932
73,1FBI,looser,looser,4,0.13901032507419586,0.963469387755102,0.9848979591836735,0.9444227005870841,0.9642357642357642
74,1FBI,looser,looser,2,0.1373489797115326,0.9643537414965987,0.9862585034013606,0.9448644421272159,0.9651178271867927
75,1FBI,looser,looser,7,0.1443490833044052,0.9648299319727891,0.9797278911564626,0.9513806315233188,0.965346202828608
76,1FBI,looser,looser,9,0.13949663937091827,0.964625850340136,0.9836734693877551,0.9475753604193972,0.9652870493991988
77,1FBI,looser,looser,5,0.1390036642551422,0.9633333333333334,0.9872108843537415,0.9422152967147124,0.9641884260182049
78,1FBI,looser,looser,1,0.1383301168680191,0.9636734693877551,0.9857142857142858,0.9440969507427678,0.9644568690095847
79,1FBI,looser,looser,3,0.13538293540477753,0.9631292517006803,0.9882993197278912,0.9409326424870467,0.9640345056403451
80,2YPV,looser,looser,1,0.20841094851493835,0.9238095238095239,0.9473469387755102,0.9047557172557172,0.9255616110594178
81,2YPV,looser,looser,3,0.2088080644607544,0.9245578231292517,0.9461224489795919,0.9070040433024651,0.9261503629220217
82,2YPV,looser,looser,7,0.20939543843269348,0.923265306122449,0.9472108843537415,0.9039210594650741,0.9250597927185755
83,2YPV,looser,looser,5,0.20931702852249146,0.9254421768707483,0.9413605442176871,0.9123154008438819,0.9266104191777152
84,2YPV,looser,looser,9,0.2097415179014206,0.9240816326530612,0.9492517006802721,0.9037564766839378,0.9259455872594559
