,ag,test type,trained on,repl,loss,acc,recall,prec,f1
29,5E94,looser,95low,4,1.6135929822921753,0.6755102040816326,0.9979591836734694,0.6066997518610422,0.7546296296296297
30,5E94,looser,95low,9,1.8727370500564575,0.6836734693877551,0.9978231292517007,0.6128008021390374,0.7592918521586085
31,5E94,looser,95low,8,1.6386841535568237,0.6856462585034013,0.9972789115646259,0.6143659374738077,0.7603340075722214
32,5E94,looser,95low,3,1.2254618406295776,0.7072789115646259,0.9965986394557823,0.6313022494182539,0.7729647021579696
33,5E94,looser,95low,7,1.658296823501587,0.7076190476190476,0.9955102040816326,0.6317561733724746,0.7729769702091697
34,5E94,looser,95low,6,1.2349298000335693,0.7047619047619048,0.9964625850340136,0.6293177521910981,0.7714345902675374
35,5E94,looser,95low,2,1.1198701858520508,0.7287074829931973,0.99578231292517,0.6490776871230933,0.7858906904327285
36,1H0D,looser,95low,8,1.0588141679763794,0.7217687074829932,0.986938775510204,0.6449146514935988,0.7800838799870953
37,1H0D,looser,95low,9,1.0011272430419922,0.7175510204081633,0.9853061224489796,0.6416799574694312,0.7772054088860271
38,1H0D,looser,95low,2,1.0650490522384644,0.6770748299319728,0.9840816326530613,0.609710865716935,0.7529277051996045
39,1H0D,looser,95low,6,1.0102046728134155,0.7040816326530612,0.9882993197278912,0.630117973629424,0.769573047992372
40,1H0D,looser,95low,7,0.9098032712936401,0.7340816326530613,0.9854421768707483,0.6557718424626527,0.7874966023375917
41,1H0D,looser,95low,3,1.0111310482025146,0.7206122448979592,0.9876190476190476,0.6438137472283814,0.779489932885906
42,1H0D,looser,95low,4,1.1651716232299805,0.7121768707482993,0.9872108843537415,0.6368822961467567,0.7742623912927492
43,1H0D,looser,95low,1,0.9928640723228455,0.7161904761904762,0.9866666666666667,0.6402966625463535,0.7766116941529235
44,1H0D,looser,95low,5,0.9623068571090698,0.7303401360544217,0.9850340136054422,0.6526050117180457,0.7850791585339406
45,1WEJ,looser,95low,1,1.34539794921875,0.6877551020408164,0.9945578231292517,0.6163575042158516,0.7610619469026547
46,1WEJ,looser,95low,5,1.092768669128418,0.7025170068027211,0.9922448979591837,0.6282194848824189,0.7693443747033072
47,1WEJ,looser,95low,4,1.2418534755706787,0.6761904761904762,0.9936054421768707,0.6077729693741678,0.7542084064855933
48,1WEJ,looser,95low,9,1.093611240386963,0.7180952380952381,0.9917006802721089,0.6409602532536054,0.7786561264822135
49,1WEJ,looser,95low,8,1.2248876094818115,0.7014965986394558,0.9906122448979592,0.6276724137931035,0.76844327176781
50,1WEJ,looser,95low,7,1.0608469247817993,0.7146938775510204,0.9927891156462585,0.6379611820248295,0.7767724079199488
51,1WEJ,looser,95low,3,1.1338475942611694,0.702312925170068,0.992108843537415,0.6280792420327304,0.7691983122362869
52,1WEJ,looser,95low,2,1.5414918661117554,0.6722448979591836,0.9941496598639455,0.6047839761628869,0.7520584602717167
53,1WEJ,looser,95low,6,1.178763508796692,0.6930612244897959,0.9915646258503401,0.6208894189810871,0.7636211232187763
54,1ADQ,looser,95low,5,1.3876991271972656,0.677891156462585,0.9810884353741497,0.6107393918861692,0.75283186302657
55,1ADQ,looser,95low,1,1.4549909830093384,0.671156462585034,0.9824489795918367,0.6054838168707026,0.7492218302552396
56,1ADQ,looser,95low,4,1.5003092288970947,0.6620408163265306,0.9851700680272109,0.5984297520661157,0.7445758354755784
57,1ADQ,looser,95low,3,1.475911021232605,0.6657823129251701,0.9834013605442177,0.6013811465180131,0.7463472559244153
58,1ADQ,looser,95low,7,1.5576268434524536,0.6744217687074829,0.9844897959183674,0.6076587168290225,0.7514799044552913
59,1ADQ,looser,95low,6,1.4960885047912598,0.672108843537415,0.9838095238095238,0.6060174321153201,0.750025930920029
60,1ADQ,looser,95low,2,1.6116156578063965,0.6707482993197279,0.9889795918367347,0.6043398736282009,0.7502322221075446
61,1ADQ,looser,95low,9,1.4401406049728394,0.6646258503401361,0.9859863945578231,0.6002153387444095,0.7461902800658978
62,1ADQ,looser,95low,8,1.5431849956512451,0.6793197278911565,0.9828571428571429,0.611581442600745,0.7539922763803361
63,1FBI,looser,95low,6,0.9602034687995911,0.7330612244897959,0.994421768707483,0.6530557541100787,0.7883723438679755
64,1FBI,looser,95low,2,1.171856164932251,0.7056462585034013,0.9960544217687075,0.6300886479042946,0.7718909800200326
65,1FBI,looser,95low,3,1.0218210220336914,0.7219047619047619,0.99578231292517,0.6433720112517581,0.7816939015272882
66,1FBI,looser,95low,7,0.9490100741386414,0.7478231292517007,0.9971428571428571,0.6653654108034498,0.7981486523277975
67,1FBI,looser,95low,8,1.1467634439468384,0.7228571428571429,0.9951020408163266,0.6442917547568711,0.7821623355790825
68,1FBI,looser,95low,9,1.0068473815917969,0.728843537414966,0.9951020408163266,0.6493252840909091,0.7858601052970882
69,1FBI,looser,95low,4,1.1328024864196777,0.6958503401360544,0.993061224489796,0.622834712859459,0.7655356861922492
70,1FBI,looser,95low,5,0.9351617097854614,0.7436054421768707,0.9955102040816326,0.6619922193069755,0.7951964353637994
71,1FBI,looser,95low,1,0.9738296270370483,0.7336734693877551,0.9952380952380953,0.6534167038856632,0.7888918846050148
72,2YPV,looser,95low,9,0.9965393543243408,0.7398639455782313,0.9949659863945578,0.6588288288288289,0.7927371273712738
73,2YPV,looser,95low,8,1.1588119268417358,0.6810884353741496,0.9882993197278912,0.6121692229900556,0.7560366361365529
74,2YPV,looser,95low,3,0.8230506181716919,0.7689115646258503,0.9934693877551021,0.68556943010046,0.8112882617632352
