,ag,test type,trained on,repl,loss,acc,recall,prec,f1
44,1H0D,looser,1 vs all,2,1.4743261337280273,0.558843537414966,0.9487074829931973,0.5330632214662487,0.6825901815868045
45,1H0D,looser,1 vs all,7,1.5120688676834106,0.5608843537414966,0.9507482993197279,0.5342099227887777,0.6840585384954236
46,1H0D,looser,1 vs all,5,1.41732656955719,0.5651700680272109,0.9361904761904762,0.5374101843174008,0.6828421157090405
47,1H0D,looser,1 vs all,9,1.4804608821868896,0.560952380952381,0.9482993197278912,0.5343452928549525,0.6835343728547613
48,1H0D,looser,1 vs all,1,1.4918019771575928,0.5619727891156463,0.9463945578231292,0.5350357664795016,0.6836027713625865
49,1H0D,looser,1 vs all,3,1.5151110887527466,0.562108843537415,0.9497959183673469,0.5349835236416584,0.6844453159468601
50,1WEJ,looser,1 vs all,5,1.0715892314910889,0.6584353741496599,0.9127891156462585,0.6050139778158535,0.7276967297575789
51,1WEJ,looser,1 vs all,9,1.0796326398849487,0.6597278911564626,0.9225850340136055,0.6046905653647227,0.7305537599655246
52,1WEJ,looser,1 vs all,7,1.079041838645935,0.6597278911564626,0.9213605442176871,0.6048588781707753,0.7302922463064813
53,1WEJ,looser,1 vs all,3,1.0760215520858765,0.6612925170068027,0.9257142857142857,0.6054996885289669,0.7321246032173025
54,1WEJ,looser,1 vs all,1,1.0717434883117676,0.6571428571428571,0.9194557823129251,0.603069784044262,0.728389739167924
55,1WEJ,looser,1 vs all,4,1.0466246604919434,0.660952380952381,0.9323809523809524,0.604320987654321,0.7333333333333333
56,1WEJ,looser,1 vs all,8,1.0977026224136353,0.6581632653061225,0.917687074829932,0.6041200179131213,0.7285984337024034
57,1WEJ,looser,1 vs all,10,1.075166940689087,0.6619047619047619,0.9308843537414966,0.6052724699221514,0.7335692076766377
58,1WEJ,looser,1 vs all,6,1.065268874168396,0.662108843537415,0.9250340136054421,0.6062416406598305,0.7324535416105574
59,1WEJ,looser,1 vs all,2,1.0852746963500977,0.6585714285714286,0.9257142857142857,0.6033519553072626,0.7305524239007892
60,1ADQ,looser,1 vs all,3,0.8279006481170654,0.6927210884353742,0.9043537414965986,0.6354077048083357,0.7463926786817136
61,1ADQ,looser,1 vs all,1,0.7941011190414429,0.6948979591836735,0.9044897959183673,0.637331032499281,0.7477644676902313
