,ag,test type,repl,loss,acc,recall,prec,f1
21,1NSN,closed,4,0.09904421865940094,0.9667346938775511,0.9854421768707483,0.9499016393442623,0.9673455759599332
22,1NSN,open,8,0.8742872476577759,0.6578231292517007,0.9821768707482993,0.595725367222314,0.7416272858023423
23,1NSN,closed,8,0.10039197653532028,0.9685034013605442,0.9821768707482993,0.9560323136008476,0.9689282598483324
24,1NSN,open,6,0.899250328540802,0.6594557823129251,0.9770068027210884,0.5975203860875353,0.7415324246179266
25,1NSN,closed,6,0.11475585401058197,0.964625850340136,0.9770068027210884,0.9533988316516198,0.9650584598844242
26,1NSN,open,2,0.8775219321250916,0.651156462585034,0.9821768707482993,0.5909462999345121,0.7379127057139937
27,1NSN,closed,2,0.10099641233682632,0.9667346938775511,0.9821768707482993,0.952751748713211,0.9672405707777851
28,1NSN,open,10,0.8570201396942139,0.6624489795918367,0.9806802721088436,0.5992683737944795,0.7439364227474455
29,1NSN,closed,10,0.10242386162281036,0.9693197278911565,0.9806802721088436,0.958893175468937,0.9696643573014058
30,1NSN,open,5,0.8706703186035156,0.655578231292517,0.9854421768707483,0.5937371915730798,0.7410097703207326
31,1NSN,closed,5,0.09783985465765,0.9672108843537415,0.9854421768707483,0.950774481491205,0.9677979690005345
32,1NSN,open,9,0.8739792108535767,0.6576870748299319,0.977687074829932,0.5961506553841048,0.7406720263863121
33,1NSN,closed,9,0.1064593717455864,0.9663945578231292,0.977687074829932,0.956093666844066,0.9667698103053949
34,1NSN,open,7,0.8496122360229492,0.6654421768707482,0.9805442176870748,0.6014855616758471,0.7456031450444858
35,1NSN,closed,7,0.09771967679262161,0.9691156462585034,0.9805442176870748,0.9586326150571961,0.9694646220069949
36,1NSN,open,3,0.857250988483429,0.661156462585034,0.9814965986394558,0.5982253918235343,0.743366479468288
37,1NSN,closed,3,0.09879399091005325,0.9672108843537415,0.9814965986394558,0.9542328042328042,0.9676727028839704
38,1NSN,open,1,0.8766123652458191,0.6593197278911564,0.9857142857142858,0.5963944682252222,0.7431531439121961
39,1NSN,closed,1,0.10237037390470505,0.9663945578231292,0.9857142857142858,0.9490437516374116,0.9670315002669515
40,3RAJ,open,2,1.110395073890686,0.6236734693877551,0.996734693877551,0.5708274894810659,0.7259215219976218
41,3RAJ,closed,2,0.05297636240720749,0.9872108843537415,0.996734693877551,0.9781041388518024,0.9873315363881401
