,ag,test type,repl,loss,acc,recall,prec,f1
58,3RAJ,open,1,0.15406350791454315,0.9435374149659864,0.8891156462585034,0.9977099236641221,0.9402877697841726
59,3RAJ,closed,1,0.3290692865848541,0.8670748299319728,0.8891156462585034,0.8515767526713578,0.8699414270500532
60,5E94,open,2,0.11201678961515427,0.9616326530612245,0.9240816326530612,0.999117387466902,0.9601357082273113
61,5E94,closed,2,0.23398272693157196,0.9102040816326531,0.9240816326530612,0.8991262907069102,0.9114331723027376
62,5E94,open,6,0.11331644654273987,0.9618367346938775,0.9248979591836735,0.998677831643896,0.9603729603729604
63,5E94,closed,6,0.23815152049064636,0.9082993197278911,0.9248979591836735,0.8951804055833553,0.909796573875803
64,5E94,open,8,0.1138722375035286,0.9624489795918367,0.9257142857142857,0.9991189427312775,0.9610169491525423
65,5E94,closed,8,0.23336337506771088,0.9137414965986395,0.9257142857142857,0.9040659048631411,0.9147620328045174
66,5E94,open,4,0.11479975283145905,0.9633333333333334,0.927891156462585,0.9986820910821497,0.9619860356865787
67,5E94,closed,4,0.23539219796657562,0.9147619047619048,0.927891156462585,0.9041495426222989,0.9158665144698852
68,5E94,open,1,0.11688150465488434,0.9622448979591837,0.9254421768707483,0.9989719488911735,0.9608023165477788
69,5E94,closed,1,0.2401573210954666,0.91,0.9254421768707483,0.8977167744489903,0.911368660815971
70,5E94,open,10,0.12892231345176697,0.9556462585034013,0.9122448979591836,0.9989570917759237,0.9536339069833595
71,5E94,closed,10,0.24749547243118286,0.9087755102040816,0.9122448979591836,0.905958654235914,0.9090909090909091
72,5E94,open,3,0.10662063956260681,0.9656462585034014,0.9323809523809524,0.9988339892144003,0.96446414749138
73,5E94,closed,3,0.2349325716495514,0.9110204081632653,0.9323809523809524,0.8941805845511482,0.9128813107766085
74,5E94,open,7,0.11197235435247421,0.9637414965986395,0.9287074829931973,0.9986832479882956,0.9624250969333803
75,5E94,closed,7,0.2352241426706314,0.9121768707482993,0.9287074829931973,0.8989859080732253,0.9136050324566686
76,5E94,open,9,0.11136989295482635,0.965578231292517,0.932108843537415,0.9989792942548849,0.9643862612612614
77,5E94,closed,9,0.24064452946186066,0.9080952380952381,0.932108843537415,0.8893937426976503,0.9102504484155983
78,5E94,open,5,0.11974995583295822,0.960204081632653,0.9213605442176871,0.9989673993214339,0.9585957958808126
79,5E94,closed,5,0.24176520109176636,0.9112925170068027,0.9213605442176871,0.903174179781275,0.9121767241379312
