,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,10,relu,0.001,0.8339901477832513,vs_Non-binder,Q96GD4,10,16
0,10,relu,0.001,0.8512315270935961,vs_Non-binder,Q96GD4,20,16
0,10,relu,0.001,0.8340339354132458,vs_Non-binder,Q96GD4,30,16
0,10,relu,0.001,0.8378544061302682,vs_Non-binder,Q96GD4,40,16
0,10,relu,0.001,0.8225287356321839,vs_Non-binder,Q96GD4,100,16
0,10,relu,0.001,0.8320525451559934,vs_Non-binder,Q96GD4,10,32
0,10,relu,0.001,0.8416967706622879,vs_Non-binder,Q96GD4,20,32
0,10,relu,0.001,0.8550519978106186,vs_Non-binder,Q96GD4,30,32
0,10,relu,0.001,0.8569786535303777,vs_Non-binder,Q96GD4,40,32
0,10,relu,0.001,0.8550629447181172,vs_Non-binder,Q96GD4,100,32
0,10,relu,0.001,0.809064039408867,vs_Non-binder,Q96GD4,10,64
0,10,relu,0.001,0.8397591680350301,vs_Non-binder,Q96GD4,20,64
0,10,relu,0.001,0.8397372742200329,vs_Non-binder,Q96GD4,30,64
0,10,relu,0.001,0.8512315270935961,vs_Non-binder,Q96GD4,40,64
0,10,relu,0.001,0.8378544061302682,vs_Non-binder,Q96GD4,100,64
0,10,relu,0.001,0.751855500821018,shuffled_weak,Q96GD4,10,8
0,10,relu,0.001,0.7652764094143404,shuffled_weak,Q96GD4,20,8
0,10,relu,0.001,0.7672249589490968,shuffled_weak,Q96GD4,30,8
0,10,relu,0.001,0.7557416529830322,shuffled_weak,Q96GD4,40,8
0,10,relu,0.001,0.7442583470169678,shuffled_weak,Q96GD4,100,8
0,10,relu,0.001,0.7498850574712644,shuffled_weak,Q96GD4,10,16
0,10,relu,0.001,0.7576683087027914,shuffled_weak,Q96GD4,20,16
0,10,relu,0.001,0.76336070060208,shuffled_weak,Q96GD4,30,16
0,10,relu,0.001,0.7729392446633826,shuffled_weak,Q96GD4,40,16
0,10,relu,0.001,0.761455938697318,shuffled_weak,Q96GD4,100,16
0,10,relu,0.001,0.7345155993431854,shuffled_weak,Q96GD4,10,32
0,10,relu,0.001,0.7575807334428024,shuffled_weak,Q96GD4,20,32
0,10,relu,0.001,0.7557525998905309,shuffled_weak,Q96GD4,30,32
0,10,relu,0.001,0.7652873563218391,shuffled_weak,Q96GD4,40,32
0,10,relu,0.001,0.7595621237000548,shuffled_weak,Q96GD4,100,32
0,10,relu,0.001,0.7230103995621238,shuffled_weak,Q96GD4,10,64
0,10,relu,0.001,0.7346469622331689,shuffled_weak,Q96GD4,20,64
0,10,relu,0.001,0.7518773946360153,shuffled_weak,Q96GD4,30,64
0,10,relu,0.001,0.7518992884510126,shuffled_weak,Q96GD4,40,64
0,10,relu,0.001,0.7748330596606459,shuffled_weak,Q96GD4,100,64
0,10,relu,0.001,0.8240867637852562,vs_Weak,P49841,10,8
0,10,relu,0.001,0.8156946347901122,vs_Weak,P49841,20,8
0,10,relu,0.001,0.8056190041114665,vs_Weak,P49841,30,8
0,10,relu,0.001,0.8072855861800585,vs_Weak,P49841,40,8
0,10,relu,0.001,0.7972437947312319,vs_Weak,P49841,100,8
0,10,relu,0.001,0.8055682452667376,vs_Weak,P49841,10,16
0,10,relu,0.001,0.8106610493545167,vs_Weak,P49841,20,16
0,10,relu,0.001,0.8173781364736138,vs_Weak,P49841,30,16
0,10,relu,0.001,0.81402805272152,vs_Weak,P49841,40,16
0,10,relu,0.001,0.8039439622354195,vs_Weak,P49841,100,16
0,10,relu,0.001,0.7820669001573525,vs_Weak,P49841,10,32
0,10,relu,0.001,0.8173781364736138,vs_Weak,P49841,20,32
0,10,relu,0.001,0.8106779689694262,vs_Weak,P49841,30,32
0,10,relu,0.001,0.8157115544050217,vs_Weak,P49841,40,32
0,10,relu,0.001,0.8156946347901122,vs_Weak,P49841,100,32
0,10,relu,0.001,0.753557349034736,vs_Weak,P49841,10,64
0,10,relu,0.001,0.8223948022942998,vs_Weak,P49841,20,64
0,10,relu,0.001,0.8157200142124764,vs_Weak,P49841,30,64
0,10,relu,0.001,0.8140449723364296,vs_Weak,P49841,40,64
0,10,relu,0.001,0.8056528433412856,vs_Weak,P49841,100,64
0,10,relu,0.001,0.8139772938767914,vs_all,P49841,10,8
