,train_task,jsd,acc,train_ag,train_neg,seed,split
150,vs Non-binder,3.138993145494587,0.9817,1H0D,auto,0,42
151,vs Non-binder,3.138993145494587,0.9817,1H0D,auto,0,42
152,vs Non-binder,3.345475764490456,0.9922,3RAJ,auto,0,42
153,vs Non-binder,3.345475764490456,0.9922,3RAJ,auto,0,42
154,vs Non-binder,3.062293937374732,0.9771,1NSN,auto,0,42
155,vs Non-binder,3.062293937374732,0.9771,1NSN,auto,0,42
156,vs Non-binder,3.116646635104809,0.9737,1ADQ,auto,0,42
157,vs Non-binder,3.116646635104809,0.9737,1ADQ,auto,0,42
158,vs Non-binder,3.4599586625422196,0.998,1FBI,auto,0,42
159,vs Non-binder,3.4599586625422196,0.998,1FBI,auto,0,42
160,vs Non-binder,3.221687851863516,0.9889,2YPV,auto,0,42
161,vs Non-binder,3.221687851863516,0.9889,2YPV,auto,0,42
162,vs Non-binder,3.2274774681552736,0.9876,1OB1,auto,0,42
163,vs Non-binder,3.2274774681552736,0.9876,1OB1,auto,0,42
164,vs Non-binder,3.093696632544596,0.9863,1WEJ,auto,0,42
165,vs Non-binder,3.093696632544596,0.9863,1WEJ,auto,0,42
166,vs Non-binder,3.532250056649364,0.9951,5E94,auto,0,42
167,vs Non-binder,3.532250056649364,0.9951,5E94,auto,0,42
168,vs Non-binder,4.0245506051024265,0.9966,3VRL,auto,0,42
169,vs Non-binder,4.0245506051024265,0.9966,3VRL,auto,0,42
170,vs Non-binder,3.1927000564477854,0.9781,1H0D,auto,0,2
171,vs Non-binder,3.365908614042421,0.9897,3RAJ,auto,0,2
172,vs Non-binder,3.0799674985231764,0.9777,1NSN,auto,0,2
173,vs Non-binder,3.0698949805904605,0.9759,1ADQ,auto,0,2
174,vs Non-binder,3.492658780309151,0.9969,1FBI,auto,0,2
175,vs Non-binder,3.2719975922476086,0.9884,2YPV,auto,0,2
176,vs Non-binder,3.252868783077833,0.9826,1OB1,auto,0,2
177,vs Non-binder,3.0703673701094125,0.9856,1WEJ,auto,0,2
178,vs Non-binder,3.523699540414368,0.9946,5E94,auto,0,2
179,vs Non-binder,4.0823885367418065,0.9968,3VRL,auto,0,2
180,vs Non-binder,3.1226284430439515,0.981,1H0D,auto,0,0
181,vs Non-binder,3.379671977524902,0.9911,3RAJ,auto,0,0
182,vs Non-binder,3.04200677123388,0.9763,1NSN,auto,0,0
183,vs Non-binder,3.1540834035734653,0.9767,1ADQ,auto,0,0
184,vs Non-binder,3.4459817122956182,0.997,1FBI,auto,0,0
185,vs Non-binder,3.2726272132424503,0.9875,2YPV,auto,0,0
186,vs Non-binder,3.177917656480173,0.9883,1OB1,auto,0,0
187,vs Non-binder,3.1106641075522297,0.9864,1WEJ,auto,0,0
188,vs Non-binder,3.5564635351494456,0.9966,5E94,auto,0,0
189,vs Non-binder,4.093707213694028,0.9968,3VRL,auto,0,0
190,vs Non-binder,3.1286450984752614,0.9763,1H0D,auto,0,1
191,vs Non-binder,3.3580235545451367,0.9915,3RAJ,auto,0,1
192,vs Non-binder,3.0767854445658966,0.9809,1NSN,auto,0,1
193,vs Non-binder,3.12699149714136,0.9791,1ADQ,auto,0,1
194,vs Non-binder,3.453368254670842,0.9972,1FBI,auto,0,1
195,vs Non-binder,3.2640911433411794,0.9866,2YPV,auto,0,1
196,vs Non-binder,3.227370251128548,0.9884,1OB1,auto,0,1
197,vs Non-binder,3.088114692004725,0.9846,1WEJ,auto,0,1
198,vs Non-binder,3.4915186812923134,0.9936,5E94,auto,0,1
199,vs Non-binder,4.01828312251959,0.9976,3VRL,auto,0,1
200,vs Weak,2.054203645630968,0.9161,1NSN,auto,2,42
201,vs Weak,1.3148175006193028,0.9108,1OB1,auto,2,42
202,vs Weak,1.1365369913125145,0.8825,3RAJ,auto,2,42
203,vs Weak,1.6461079861243215,0.9231,5E94,auto,2,42
204,vs Weak,1.7815201910874254,0.954,3VRL,auto,2,42
205,vs Weak,1.201191932371917,0.8967,1H0D,auto,2,42
206,vs Weak,1.4833750103495666,0.9178,1WEJ,auto,2,42
207,vs Weak,1.3000827717845487,0.8599,1ADQ,auto,2,42
208,vs Weak,1.5733574122232956,0.9407,2YPV,auto,2,42
209,vs Weak,1.2633491145099836,0.9763,1FBI,auto,2,42
210,vs Weak,2.054203645630968,0.9239,1NSN,auto,3,42
211,vs Weak,1.3148175006193028,0.9149,1OB1,auto,3,42
212,vs Weak,1.1365369913125145,0.8844,3RAJ,auto,3,42
213,vs Weak,1.6461079861243215,0.9239,5E94,auto,3,42
214,vs Weak,1.7815201910874254,0.949,3VRL,auto,3,42
215,vs Weak,1.201191932371917,0.8951,1H0D,auto,3,42
216,vs Weak,1.4833750103495666,0.9174,1WEJ,auto,3,42
