ag,train_task,test_task,neg_ratio,acc,recall,precision,f1
3RAJ,ONE_VS_NINE,HIGH_VS_LOOSER,1:2,0.7622,0.9028,0.5943383805134957,0.7167923779277491
3RAJ,ONE_VS_NINE,HIGH_VS_LOOSER,1:5,0.7304,0.9028,0.37256520303730606,0.5274596868427203
3RAJ,ONE_VS_NINE,HIGH_VS_LOOSER,1:10,0.7173090909090909,0.9028,0.23058847568451166,0.3673502604166667
3RAJ,ONE_VS_NINE,HIGH_VS_LOOSER,1:15,0.711825,0.9028,0.16667897496492134,0.28140390249984415
3RAJ,HIGH_VS_95LOW,ONE_VS_NINE,1:1,0.7412706353176588,0.997,0.6597406034939122,0.7940426887543803
3RAJ,HIGH_VS_95LOW,ONE_VS_NINE,1:2,0.6855618539513171,0.997,0.514713474445018,0.6789240721824991
3RAJ,HIGH_VS_95LOW,ONE_VS_NINE,1:5,0.625937656276046,0.997,0.30790611488573194,0.4705049551675318
3RAJ,HIGH_VS_95LOW,ONE_VS_NINE,1:10,0.5990362760250932,0.997,0.18448614040931127,0.31135817120014986
3RAJ,HIGH_VS_95LOW,HIGH_VS_95LOW,1:1,0.9922,0.997,0.9875198098256736,0.9922372611464969
3RAJ,HIGH_VS_95LOW,HIGH_VS_95LOW,1:2,0.9911333333333333,0.997,0.9768763472467176,0.9868355933881026
3RAJ,HIGH_VS_95LOW,HIGH_VS_95LOW,1:5,0.9896,0.997,0.9437712987504733,0.9696557090060299
3RAJ,HIGH_VS_95LOW,HIGH_VS_95LOW,1:10,0.9894181818181819,0.997,0.8978746397694525,0.9448445792266869
3RAJ,HIGH_VS_95LOW,HIGH_VS_95LOW,1:15,0.9894625,0.997,0.857560639944951,0.9220382872468326
3RAJ,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:1,0.7056,0.997,0.6298963861511246,0.772030354653864
3RAJ,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:2,0.6027333333333333,0.997,0.4561259035593375,0.6259024420867599
3RAJ,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:5,0.5018666666666667,0.997,0.25032640353520136,0.40017660752990286
3RAJ,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:10,0.4556545454545455,0.997,0.14279985104127876,0.24981833671602896
3RAJ,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:15,0.4379625,0.997,0.09983377726153045,0.18149381974405185
3RAJ,HIGH_VS_LOOSER,ONE_VS_NINE,1:1,0.8574287143571786,0.8838,0.8396351890556717,0.8611517100263081
3RAJ,HIGH_VS_LOOSER,ONE_VS_NINE,1:2,0.8619539846615538,0.8838,0.747968855788761,0.8102310231023102
3RAJ,HIGH_VS_LOOSER,ONE_VS_NINE,1:5,0.8686114352392066,0.8838,0.5680678750482067,0.6916034118475624
3RAJ,HIGH_VS_LOOSER,ONE_VS_NINE,1:10,0.8711701063733067,0.8838,0.40455918703652843,0.5550461596432833
3RAJ,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:1,0.9414,0.8838,0.9988698010849909,0.9378183361629882
3RAJ,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:2,0.9599333333333333,0.8838,0.9954944807389051,0.9363280008475474
3RAJ,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:5,0.9788666666666667,0.8838,0.9881484794275492,0.9330658783783784
3RAJ,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:10,0.9877636363636364,0.8838,0.9796054090002216,0.9292398275680791
3RAJ,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:15,0.9909625,0.8838,0.9688664766498575,0.9243802949482273
3RAJ,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:1,0.8787,0.8838,0.8748762621263116,0.8793154909959208
3RAJ,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:2,0.8734666666666666,0.8838,0.770397489539749,0.8232116244411326
3RAJ,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:5,0.8703666666666666,0.8838,0.571890772615504,0.6944291663392785
3RAJ,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:10,0.8712545454545455,0.8838,0.4047073907867021,0.5551856272378919
3RAJ,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:15,0.8708875,0.8838,0.31192207242182535,0.46110502426044764
5E94,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9443721860930465,0.949,0.9403487911216806,0.9446545888911009
5E94,ONE_VS_NINE,ONE_VS_NINE,1:2,0.945515171723908,0.949,0.8941021292632373,0.920733482099544
5E94,ONE_VS_NINE,ONE_VS_NINE,1:5,0.9451575262543758,0.949,0.7734311328443357,0.8522676246070947
5E94,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9449404491317392,0.949,0.6311519021016228,0.7581083240134208
5E94,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.9734,0.949,0.9976871320437343,0.9727347273472735
5E94,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.9819333333333333,0.949,0.9966393614786809,0.9722364511832804
5E94,ONE_VS_NINE,HIGH_VS_95LOW,1:5,0.9899,0.949,0.9899853953682454,0.9690595323190033
5E94,ONE_VS_NINE,HIGH_VS_95LOW,1:10,0.9937272727272727,0.949,0.9813857290589452,0.9649211997966447
5E94,ONE_VS_NINE,HIGH_VS_95LOW,1:15,0.9951125,0.949,0.9721368572013932,0.9604291063657524
5E94,ONE_VS_NINE,HIGH_VS_LOOSER,1:1,0.8569,0.949,0.8013849011991218,0.8689680432194854
5E94,ONE_VS_NINE,HIGH_VS_LOOSER,1:2,0.8294666666666667,0.949,0.6732406356413166,0.7876826029216467
5E94,ONE_VS_NINE,HIGH_VS_LOOSER,1:5,0.7918,0.949,0.44197093889716843,0.6030757498729029
5E94,ONE_VS_NINE,HIGH_VS_LOOSER,1:10,0.7776727272727273,0.949,0.2838258164852255,0.4369647297172851
5E94,ONE_VS_NINE,HIGH_VS_LOOSER,1:15,0.772375,0.949,0.20903083700440528,0.34259927797833933
5E94,HIGH_VS_95LOW,ONE_VS_NINE,1:1,0.8089044522261131,0.9972,0.7244986922406277,0.8392526510688436
5E94,HIGH_VS_95LOW,ONE_VS_NINE,1:2,0.7576525508502834,0.9972,0.5793632349523589,0.732911950610025
5E94,HIGH_VS_95LOW,ONE_VS_NINE,1:5,0.7044840806801134,0.9972,0.3603642671292281,0.5294117647058824
5E94,HIGH_VS_95LOW,ONE_VS_NINE,1:10,0.6830802800254568,0.9972,0.22257934913619928,0.3639283237838035
5E94,HIGH_VS_95LOW,HIGH_VS_95LOW,1:1,0.9951,0.9972,0.993029277036447,0.9951102684362838
5E94,HIGH_VS_95LOW,HIGH_VS_95LOW,1:2,0.9938666666666667,0.9972,0.9845971563981043,0.9908585055643879
5E94,HIGH_VS_95LOW,HIGH_VS_95LOW,1:5,0.9924333333333333,0.9972,0.9590305828043855,0.9777429159721541
5E94,HIGH_VS_95LOW,HIGH_VS_95LOW,1:10,0.9922181818181818,0.9972,0.9233333333333333,0.9588461538461539
5E94,HIGH_VS_95LOW,HIGH_VS_95LOW,1:15,0.9921,0.9972,0.8897216274089935,0.940399849113542
5E94,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:1,0.7142,0.9972,0.6367816091954023,0.777240841777085
5E94,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:2,0.6214,0.9972,0.46812505867993615,0.6371477860839564
5E94,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:5,0.5213666666666666,0.9972,0.2579276809270084,0.40984751962516947
5E94,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:10,0.4792363636363636,0.9972,0.14833105253763312,0.2582483037240379
5E94,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:15,0.4645125,0.9972,0.10428562464704776,0.18882429796822633
5E94,HIGH_VS_LOOSER,ONE_VS_NINE,1:1,0.9314657328664332,0.9094,0.9514542791378949,0.9299519378259536
5E94,HIGH_VS_LOOSER,ONE_VS_NINE,1:2,0.9427142380793598,0.9094,0.9180294770845951,0.9136943635084899
5E94,HIGH_VS_LOOSER,ONE_VS_NINE,1:5,0.9527254542423738,0.9094,0.8249274310595065,0.8651065449010654
5E94,HIGH_VS_LOOSER,ONE_VS_NINE,1:10,0.9559778161651059,0.9094,0.6979278587874137,0.7897524967433782
5E94,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:1,0.9543,0.9094,0.999121072291804,0.9521516071615538
5E94,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:2,0.9692666666666667,0.9094,0.9982436882546653,0.9517530088958661
5E94,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:5,0.9845333333333334,0.9094,0.9975866608161474,0.9514542791378949
5E94,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:10,0.9912181818181818,0.9094,0.9934454883111208,0.9495666701472276
5E94,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:15,0.9937375,0.9094,0.9895538628944505,0.9477853048462741
5E94,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:1,0.9201,0.9094,0.929286736153689,0.9192358233094107
5E94,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:2,0.925,0.9094,0.8712397010921632,0.8899109501908209
5E94,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:5,0.9268666666666666,0.9094,0.7231234096692112,0.8056343019135365
5E94,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:10,0.9281636363636364,0.9094,0.5651957737725295,0.6971253353775393
5E94,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:15,0.9281,0.9094,0.46181190331098926,0.6125555705240469
1H0D,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9429714857428715,0.9458,0.940533015115354,0.9431591543677703
1H0D,ONE_VS_NINE,ONE_VS_NINE,1:2,0.9407802600866956,0.9458,0.8845866068088291,0.9141697274308912
1H0D,ONE_VS_NINE,ONE_VS_NINE,1:5,0.9335555925987664,0.9458,0.7330646411409084,0.8259540651471488
1H0D,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9316301481952904,0.9458,0.5754441469944025,0.7155394159479498
1H0D,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.6774,0.9458,0.6154346694429984,0.7456638284452853
1H0D,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.5895333333333334,0.9458,0.4455016486104569,0.6056996477745757
1H0D,ONE_VS_NINE,HIGH_VS_95LOW,1:5,0.5011666666666666,0.9458,0.24347423158111517,0.38725791262334686
1H0D,ONE_VS_NINE,HIGH_VS_95LOW,1:10,0.46043636363636364,0.9458,0.13854221597234428,0.2416824244902131
1H0D,ONE_VS_NINE,HIGH_VS_95LOW,1:15,0.4445875,0.9458,0.09672536867726167,0.17550240299864545
1H0D,ONE_VS_NINE,HIGH_VS_LOOSER,1:1,0.5768,0.9458,0.5441887226697353,0.6908692476260043
1H0D,ONE_VS_NINE,HIGH_VS_LOOSER,1:2,0.4538,0.9458,0.37380444233657417,0.5358336638150812
1H0D,ONE_VS_NINE,HIGH_VS_LOOSER,1:5,0.3285,0.9458,0.1922123318294517,0.3194946458129243
1H0D,ONE_VS_NINE,HIGH_VS_LOOSER,1:10,0.2731090909090909,0.9458,0.10642032540450526,0.1913141978679936
1H0D,ONE_VS_NINE,HIGH_VS_LOOSER,1:15,0.25075,0.9458,0.07343395757632225,0.13628634830974953
1H0D,HIGH_VS_95LOW,ONE_VS_NINE,1:1,0.8205102551275638,0.9844,0.7414884001205182,0.8458498023715414
1H0D,HIGH_VS_95LOW,ONE_VS_NINE,1:2,0.7779926642214071,0.9844,0.6022268444879482,0.7472861155393608
1H0D,HIGH_VS_95LOW,ONE_VS_NINE,1:5,0.7319886647774629,0.9844,0.38205386944034775,0.5504669238942012
1H0D,HIGH_VS_95LOW,ONE_VS_NINE,1:10,0.7104464042185653,0.9844,0.23699922958397535,0.3820242160819622
1H0D,HIGH_VS_95LOW,HIGH_VS_95LOW,1:1,0.9817,0.9844,0.9791127909289835,0.981749276952229
1H0D,HIGH_VS_95LOW,HIGH_VS_95LOW,1:2,0.9791333333333333,0.9844,0.9544308706612371,0.969183814118342
1H0D,HIGH_VS_95LOW,HIGH_VS_95LOW,1:5,0.9765,0.9844,0.8870066678680844,0.9331690207602618
1H0D,HIGH_VS_95LOW,HIGH_VS_95LOW,1:10,0.9762727272727273,0.9844,0.8004553585948935,0.8829491434209346
1H0D,HIGH_VS_95LOW,HIGH_VS_95LOW,1:15,0.975825,0.9844,0.7261729123635291,0.8357955510273392
1H0D,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:1,0.7264,0.9844,0.6493403693931399,0.7825119236883943
1H0D,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:2,0.6414,0.9844,0.4814633669177345,0.6466530907179925
1H0D,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:5,0.5577666666666666,0.9844,0.27176853845729115,0.42594435550170917
1H0D,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:10,0.5168909090909091,0.9844,0.15667674677701734,0.2703281614719209
1H0D,HIGH_VS_95LOW,HIGH_VS_LOOSER,1:15,0.5032375,0.9844,0.1103958730514747,0.19852778057880405
1H0D,HIGH_VS_LOOSER,ONE_VS_NINE,1:1,0.8213106553276638,0.9016,0.7769734574284729,0.8346602481022033
1H0D,HIGH_VS_LOOSER,ONE_VS_NINE,1:2,0.8071357119039679,0.9016,0.6525767226404169,0.757138058448102
1H0D,HIGH_VS_LOOSER,ONE_VS_NINE,1:5,0.7972328721453575,0.9016,0.4464250346603288,0.5971651874420453
1H0D,HIGH_VS_LOOSER,ONE_VS_NINE,1:10,0.7904536776070552,0.9016,0.29009009009009007,0.43894839337877317
1H0D,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:1,0.9446,0.9016,0.9864332603938731,0.942110762800418
1H0D,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:2,0.958,0.9016,0.9702970297029703,0.934687953555878
1H0D,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:5,0.9709666666666666,0.9016,0.9224473091876407,0.9119045210882978
1H0D,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:10,0.9774363636363637,0.9016,0.8575233022636485,0.8790094569562249
1H0D,HIGH_VS_LOOSER,HIGH_VS_95LOW,1:15,0.9795,0.9016,0.7970297029702971,0.846096096096096
1H0D,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:1,0.8937,0.9016,0.8875762945461705,0.8945331878162516
1H0D,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:2,0.8876,0.9016,0.7905997895475272,0.8424593533918894
1H0D,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:5,0.8844666666666666,0.9016,0.6025126971398022,0.7223201410030444
1H0D,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:10,0.8839636363636364,0.9016,0.43354491248316984,0.5855305883881023
1H0D,HIGH_VS_LOOSER,HIGH_VS_LOOSER,1:15,0.8838125,0.9016,0.33866726767335287,0.49238162852929934
1WEJ,ONE_VS_NINE,ONE_VS_NINE,1:1,0.9374687343671836,0.9342,0.94040668411516,0.937293067121501
1WEJ,ONE_VS_NINE,ONE_VS_NINE,1:2,0.944648216072024,0.9342,0.9031322505800464,0.9184034604797484
1WEJ,ONE_VS_NINE,ONE_VS_NINE,1:5,0.9484247374562427,0.9342,0.7931737137035151,0.8579300211222336
1WEJ,ONE_VS_NINE,ONE_VS_NINE,1:10,0.9509591781071006,0.9342,0.6635885779230004,0.7759780712683778
1WEJ,ONE_VS_NINE,HIGH_VS_95LOW,1:1,0.8586,0.9342,0.811501042390549,0.8685384901450354
1WEJ,ONE_VS_NINE,HIGH_VS_95LOW,1:2,0.8327333333333333,0.9342,0.6817982776237046,0.7882879081934013
